,Country,"Under-five mortality rate 2019,both","Under-five mortality rate 2019, male","Under-five mortality rate 2019, Female",Infant mortality rate 2019,Neonatal mortality rate 2019,"Mortality rate among children aged 5–14 years, 2019",Annual rate of reduction in under-five mortality rate	,Annual rate of reduction in stillbirth rate,Under five deaths 2019,Deaths among children aged 5–14 years 2019,Vaccine BCG,Vaccine DTP1,Vaccine DTP3,Vaccine Polio3,Vaccine MCV1,Vaccine MCV2 (F),Vaccine HepB3,Vaccine Hib3,Vaccine Rota,Vaccine PCV3,Child dependency ratio,Maternity leave benefits,Paternity leave benefits,Exclusive Breastfeeding (< 6months) %,country_code
117,Indonesia,24,26,21,20,12,5,4.1,2.5,"114,994","24,340",87,83,77,76,76,49,77,77,-,4,38,No,Yes,51,IDN
118,Tuvalu,24,26,22,20,16,5,2.9,1.1,7,2,99,99,95,90,93,85,93,93,-,-,57,-,-,35,TUV
119,Niue,23,26,21,20,13,5,0.1,0.9,1,0,-,-,-,-,-,-,-,-,-,-,38,-,-,,NIU
120,Venezuela ,24,26,22,21,15,3,-0.6,0.2,"12,620","1,862",82,73,54,62,76,28,54,54,-,-,42,Yes,Yes,,VEN
121,Guatemala,25,27,22,21,12,4,3.9,2.3,"10,364","1,429",86,92,83,83,88,79,89,89,85,86,54,No,Yes,53,GTM
122,Vanuatu,26,28,24,22,11,5,0.5,0.5,224,41,77,84,78,76,78,-,78,78,-,-,66,No,No,73,VUT
123,Fiji,26,28,23,22,11,5,-0.7,0.9,482,81,-,-,-,-,-,-,-,-,-,-,45,Yes,Yes,40,FJI
124,Bolivia,26,28,23,21,15,4,5.6,2.9,"6,399",966,82,79,68,68,74,46,68,68,74,68,48,No,Yes,56,BOL
125,Iraq,26,28,23,22,15,4,2.8,1.8,"28,801","3,645",99,90,74,78,76,93,74,74,42,-,64,Yes,No,26,IRQ
126,Cambodia,27,30,23,23,14,5,7.3,3.8,"9,647","1,630",98,94,92,94,84,80,92,92,-,90,48,No,No,65,KHM
127,Philippines,27,30,24,22,13,4,1.7,1.6,"59,751","8,952",64,74,71,72,72,68,71,71,-,66,47,Yes,Yes,55,PHL
128,Bhutan,28,31,26,24,17,7,5.2,2.8,369,94,98,96,95,96,93,92,96,96,-,90,36,No,Yes,53,BTN
129,Dominican Republic,28,31,25,23,19,3,2.0,1.6,"5,768",558,85,86,82,80,82,55,81,80,77,69,42,Yes,Yes,5,DOM
